V_bias/mV,Current,Temperature
-400,-3.033468e-12,950.0
-300,-2.4612580000000004e-12,950.0
-200,-1.6937334e-12,950.0
-100,-9.628346e-13,950.0
0,2.8381532000000003e-13,950.0
100,8.30082e-13,950.0
200,1.5441970000000001e-12,950.0
300,2.262898e-12,950.0
400,3.074666e-12,950.0
500,3.820814e-12,950.0
600,4.550198e-12,950.0
700,5.288724e-12,950.0
800,5.9097580000000005e-12,950.0
900,6.6147120000000005e-12,950.0
1000,7.045016e-12,950.0
1100,7.496678e-12,950.0
1200,8.001764e-12,950.0
1300,8.387820000000001e-12,950.0
1400,8.857790000000001e-12,950.0
1500,9.207212000000001e-12,950.0
1600,9.617678000000002e-12,950.0
1700,1.0051022e-11,950.0
1800,1.0418768000000001e-11,950.0
1900,1.0775812000000001e-11,950.0
2000,1.1126772e-11,950.0
2100,1.1503654e-11,950.0
2200,1.1930912000000001e-11,950.0
2300,1.220709e-11,950.0
2400,1.2562618e-11,950.0
2500,1.2919678e-11,950.0
2600,1.3244688e-11,950.0
2700,1.3642946000000002e-11,950.0
2800,1.3992372e-11,950.0
2900,1.4338742000000002e-11,950.0
3000,1.4724795999999998e-11,950.0
3100,1.5095578e-11,950.0
3200,1.5385498e-11,950.0
3300,1.57182e-11,950.0
3400,1.6131712e-11,950.0
3500,1.644147e-11,950.0
3600,1.6764948e-11,950.0
3700,1.700604e-11,950.0
3800,1.7396666e-11,950.0
3900,1.7759824e-11,950.0
4000,1.8031426000000004e-11,950.0
4100,1.8368648000000002e-11,950.0
4200,1.8733340000000002e-11,950.0
4300,1.9069024000000004e-11,950.0
4400,1.9319268e-11,950.0
4500,1.9621394000000003e-11,950.0
4600,1.9969312e-11,950.0
4700,2.02577e-11,950.0
4800,2.058574e-11,950.0
4900,2.0973320000000003e-11,950.0
5000,2.120068e-11,950.0
-5000,-6.471146e-11,1050.0
-4900,-6.510212000000001e-11,1050.0
-4800,-6.420182000000001e-11,1050.0
-4700,-6.346788e-11,1050.0
-4600,-6.257678000000001e-11,1050.0
-4500,-6.172506e-11,1050.0
-4400,-6.082634e-11,1050.0
-4300,-5.997796000000001e-11,1050.0
-4200,-5.917078e-11,1050.0
-4100,-5.823692e-11,1050.0
-4000,-5.737636e-11,1050.0
-3900,-5.659052000000001e-11,1050.0
-3800,-5.5694840000000006e-11,1050.0
-3700,-5.4680100000000005e-11,1050.0
-3600,-5.3819500000000003e-11,1050.0
-3500,-5.2875020000000003e-11,1050.0
-3400,-5.201288e-11,1050.0
-3300,-5.1178200000000006e-11,1050.0
-3200,-5.033898000000001e-11,1050.0
-3100,-4.9440220000000004e-11,1050.0
-3000,-4.8526260000000005e-11,1050.0
-2900,-4.762598e-11,1050.0
-2800,-4.667380000000001e-11,1050.0
-2700,-4.586662e-11,1050.0
-2600,-4.485194e-11,1050.0
-2500,-4.3998960000000004e-11,1050.0
-2400,-4.289112000000001e-11,1050.0
-2300,-4.187798e-11,1050.0
-2200,-4.1041759999999996e-11,1050.0
-2100,-4.0046940000000004e-11,1050.0
-2000,-3.912836e-11,1050.0
-1900,-3.7977880000000005e-11,1050.0
-1800,-3.699972000000001e-11,1050.0
-1700,-3.5870620000000004e-11,1050.0
-1600,-3.4790280000000003e-11,1050.0
-1500,-3.35772e-11,1050.0
-1400,-3.22558e-11,1050.0
-1300,-3.087324e-11,1050.0
-1200,-2.93397e-11,1050.0
-1100,-2.750714e-11,1050.0
-1000,-2.552806e-11,1050.0
-900,-2.3387259999999998e-11,1050.0
-800,-2.1069460000000003e-11,1050.0
-700,-1.8693664e-11,1050.0
-600,-1.6179018e-11,1050.0
-500,-1.35346e-11,1050.0
-400,-1.0968080000000002e-11,1050.0
-300,-8.22454e-12,1050.0
-200,-5.610682000000001e-12,1050.0
-100,-2.867136e-12,1050.0
0,9.765684e-14,1050.0
100,2.565018e-12,1050.0
200,5.34213e-12,1050.0
300,7.963618e-12,1050.0
400,1.0754452000000001e-11,1050.0
500,1.3496458e-11,1050.0
600,1.6122556e-11,1050.0
700,1.882183e-11,1050.0
800,2.1400600000000002e-11,1050.0
900,2.4051000000000002e-11,1050.0
1000,2.655498e-11,1050.0
1100,2.8885000000000005e-11,1050.0
1200,3.1271559999999995e-11,1050.0
1300,3.3488700000000005e-11,1050.0
1400,3.5467800000000004e-11,1050.0
1500,3.747586e-11,1050.0
1600,3.93237e-11,1050.0
1700,4.1017399999999996e-11,1050.0
1800,4.2645480000000004e-11,1050.0
1900,4.4232440000000005e-11,1050.0
2000,4.5863560000000004e-11,1050.0
2100,4.746578e-11,1050.0
2200,4.896566e-11,1050.0
2300,5.041226e-11,1050.0
2400,5.2032699999999995e-11,1050.0
2500,5.351278e-11,1050.0
2600,5.50692e-11,1050.0
2700,5.6447080000000004e-11,1050.0
2800,5.791954e-11,1050.0
2900,5.934624000000001e-11,1050.0
3000,6.087214000000001e-11,1050.0
3100,6.226224e-11,1050.0
3200,6.381268e-11,1050.0
3300,6.531116000000002e-11,1050.0
3400,6.667832000000001e-11,1050.0
3500,6.803028e-11,1050.0
3600,6.946002e-11,1050.0
3700,7.098282000000001e-11,1050.0
3800,7.236836e-11,1050.0
3900,7.380574e-11,1050.0
4000,7.524156e-11,1050.0
4100,7.661636000000001e-11,1050.0
4200,7.810414e-11,1050.0
4300,7.943924e-11,1050.0
4400,8.084304000000001e-11,1050.0
4500,8.224840000000001e-11,1050.0
4600,8.362774e-11,1050.0
4700,8.495072e-11,1050.0
4800,8.629050000000001e-11,1050.0
4900,8.761188000000001e-11,1050.0
5000,8.896070000000001e-11,1050.0
-5000,-1.234022e-10,1100.0
-4900,-1.219679e-10,1100.0
-4800,-1.206366e-10,1100.0
-4700,-1.1911069999999998e-10,1100.0
-4600,-1.1745135e-10,1100.0
-4500,-1.158834e-10,1100.0
-4400,-1.1423170000000001e-10,1100.0
-4300,-1.1253800000000002e-10,1100.0
-4200,-1.1093965e-10,1100.0
-4100,-1.0926495e-10,1100.0
-4000,-1.0775815e-10,1100.0
-3900,-1.060644e-10,1100.0
-3800,-1.0444315e-10,1100.0
-3700,-1.0273800000000001e-10,1100.0
-3600,-1.010558e-10,1100.0
-3500,-9.935049999999999e-11,1100.0
-3400,-9.76836e-11,1100.0
-3300,-9.60089e-11,1100.0
-3200,-9.440285000000001e-11,1100.0
-3100,-9.265955e-11,1100.0
-3000,-9.085140000000001e-11,1100.0
-2900,-8.911955e-11,1100.0
-2800,-8.749455e-11,1100.0
-2700,-8.558335e-11,1100.0
-2600,-8.372555e-11,1100.0
-2500,-8.19479e-11,1100.0
